Rory McIlroy,G,145.793,15700
Sergio Garcia,G,140.781,10000
Justin Rose,G,140.374,10800
Martin Kaymer,G,139.204,9900
Dustin Johnson,G,139,11500
Rickie Fowler,G,138.925,9700
Patrick Reed,G,137.541,9100
Victor Dubuisson,G,137.105,8000
Billy Horschel,G,136.817,8000
Phil Mickelson,G,136.5,9000
Brooks Koepka,G,136.293,9500
Graeme McDowell,G,135.932,9600
Zach Johnson,G,135.09,8200
Chris Kirk,G,134.745,8100
Lee Westwood,G,134.179,9300
Jamie Donaldson,G,133.97,7800
Ryan Palmer,G,133.938,9300
Charl Schwartzel,G,133.509,8600
Keegan Bradley,G,132.667,9800
Stephen Gallacher,G,132.131,7000
Ian Poulter,G,131.795,7200
Joost Luiten,G,131.089,7100
Louis Oosthuizen,G,130.753,8300
Luke Donald,G,130.269,7800
Harris English,G,129.76,9000
Jason Dufner,G,129.667,7200
Russell Henley,G,129.65,8300
Thomas Bjorn,G,129.449,6300
Marc Leishman,G,129.377,7000
Graham DeLaet,G,128.794,8700
Francesco Molinari,G,127.814,7100
Nick Watney,G,127.092,8500
Sang-Moon Bae,G,126.02,8000
Robert Streb,G,125.659,7800
Ben Martin,G,125.478,6000
Paul Casey,G,124.99,8400
Justin Thomas,G,124.374,7800
Jonas Blixt,G,124.193,5900
Angel Cabrera,G,123.88,6600
Ernie Els,G,123.002,6300
Charles Howell III,G,122,7100
Russell Knox,G,121.203,7600
Scott Stallings,G,120.88,6900
Brendon de Jonge,G,120.436,6700
Shawn Stefani,G,120.174,6700
Fredrik Jacobson,G,119.992,7200
Brian Harman,G,119.741,6800
Seung-yul Noh,G,118.087,6900
Scott Piercy,G,117.679,6300
Matt Every,G,117.192,5100
Brendan Steele,G,117.148,7400
Cameron Tringale,G,116.738,6100
Chesson Hadley,G,116,5900
Will MacKenzie,G,115.415,7200
George McNeill,G,115.113,6300
Jerry Kelly,G,114.821,6100
Tony Finau,G,114.5,6700
Boo Weekley,G,114.033,6500
Erik Compton,G,113.818,5800
Chris Stroud,G,112.292,6900
Camilo Villegas,G,109.628,6400
Carlos Ortiz,G,108.804,6200
Rory Sabbatini,G,106.5,6700
Retief Goosen,G,106,6900
Jason Bohn,G,105.586,5200
Daniel Summerhays,G,105.413,6300
Gonzalo Fernandez-Castano,G,104.718,4800
Jason Kokrak,G,104.663,6700
Daniel Berger,G,104.398,7000
David Hearn,G,103.95,6100
Morgan Hoffmann,G,103.854,5800
William McGirt,G,102.895,6700
Colt Knost,G,102,5100
Andres Gonzales,G,101.5,5100
Ben Crane,G,101.215,4800
Brian Stuard,G,100.025,6100
John Peterson,G,100,5600
Zac Blair,G,99.647,4900
Kyle Reifers,G,99.6,5400
Vijay Singh,G,99.5,6300
Andrew Svoboda,G,99.0569,5700
Jeff Overton,G,99,5700
David Lingmerth,G,98.1242,5600
Blayne Barber,G,98.1104,6600
Jamie Lovemark,G,98,4000
Spencer Levin,G,97.9,5800
Alex Cejka,G,97.9,4600
Charlie Beljan,G,97,5400
Martin Flores,G,97,4600
Danny Lee,G,97,4500
Fabian Gomez,G,96.8,4300
Ken Duke,G,96,4600
Lucas Glover,G,96,5700
Luke Guthrie,G,96,5800
Chad Campbell,G,95.6,4600
Padraig Harrington,G,95.5,5200
Michael Thompson,G,95.5,6800
Jhonattan Vegas,G,95.4703,5900
John Huh,G,95.3817,5200
Billy Hurley III,G,95.2429,5600
Sean O'Hair,G,94.8,4800
David Toms,G,94.7354,5100
Robert Allenby,G,94.5,4100
Max Homa,G,94.5,4900
Derek Fathauer,G,94.371,4800
Carl Pettersson,G,93.7835,5000
Adam Hadwin,G,93.6847,4500
Jim Herman,G,93.5,4000
Patrick Rodgers,G,93.2,6000
Scott Brown,G,92.9594,4200
Scott Langley,G,92.8047,5400
Justin Hicks,G,92.4839,4400
Stewart Cink,G,92.2297,4500
Brian Davis,G,92.0807,4400
Bo Van Pelt,G,91.6722,5100
Mark Wilson,G,91,4500
Nicholas Thompson,G,90.7939,5200
Scott Verplank,G,90.254,3900
Jon Curran,G,89.6769,4400
Oscar Fraustro,G,89.5,3900
Kevin Kisner,G,88.8618,4100
Robert Garrigus,G,88.6915,4800
Andres Romero,G,88.5387,4700
Hudson Swafford,G,88.0606,4500
Andrew Putnam,G,87.8552,4200
Ricky Barnes,G,87.8216,4300
Mike Weir,G,87.7213,3700
D.A. Points,G,87.4357,4600
Tim Wilkinson,G,87.4098,4000
Brice Garnett,G,87.323,4200
Jim Renner,G,87.1505,3700
Woody Austin,G,87.0785,3700
Y.E. Yang,G,87.0704,5100
Derek Ernst,G,87.0478,3900
Tom Hoge,G,87.0408,4000
Dudley Hart,G,86.9361,3900
Paul Scaletta,G,86.9361,3600
Ryan Armour,G,0,4100
Chad Collins,G,0,4900
Sung Joon Park,G,0,4900
Alex Prugh,G,0,6600
Steve Wheatcroft,G,0,4300
J.J. Henry,G,0,6000