Bears,,,,,,,,,,,,218.48
Broncos,,,,,,,,,,,,206.93
Seahawks,,,,,,,,,,,,199.34
Patriots,,,,,,,,,,,,197.67
Chargers,,,,,,,,,,,,175.18
49ers,,,,,,,,,,,,173.47
Texans,,,,,,,,,,,,169.30
Bengals,,,,,,,,,,,,166.41
Cardinals,,,,,,,,,,,,155.42
Ravens,,,,,,,,,,,,148.19
Giants,,,,,,,,,,,,147.93
Rams,,,,,,,,,,,,144.24
Redskins,,,,,,,,,,,,137.12
Browns,,,,,,,,,,,,136.90
Vikings,,,,,,,,,,,,136.06
Falcons,,,,,,,,,,,,135.77
Packers,,,,,,,,,,,,131.76
Dolphins,,,,,,,,,,,,126.00
Cowboys,,,,,,,,,,,,123.84
Colts,,,,,,,,,,,,123.15
Titans,,,,,,,,,,,,117.77
Panthers,,,,,,,,,,,,114.12
Steelers,,,,,,,,,,,,110.94
Jets,,,,,,,,,,,,110.15
Buccaneers,,,,,,,,,,,,105.86
Saints,,,,,,,,,,,,104.40
Bills,,,,,,,,,,,,97.23
Eagles,,,,,,,,,,,,91.21
Lions,,,,,,,,,,,,79.35
Jaguars,,,,,,,,,,,,77.11
Chiefs,,,,,,,,,,,,66.13
Raiders,,,,,,,,,,,,60.64